State,County,metro,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,aftw2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,aftw2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,aftw2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,aftw2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,aftw2
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,47.37%,23.69%,54.92%,27.46%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Hampshire County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",616,739,924,1154,1314,39.49%,19.74%,45.78%,22.89%,21.20%,76.67%,38.33%,88.89%,44.44%,25.43%,59.23%,29.62%,68.67%,34.34%,31.80%,73.97%,36.99%,85.77%,42.88%,39.72%,84.23%,42.12%,97.66%,48.83%,45.22%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,55.38%,27.69%,64.21%,32.11%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,55.38%,27.69%,64.21%,32.11%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",750,864,1109,1381,1627,48.08%,24.04%,55.74%,27.87%,25.81%,76.67%,38.33%,88.89%,44.44%,29.74%,71.09%,35.54%,82.42%,41.21%,38.17%,88.53%,44.26%,102.64%,51.32%,47.53%,104.29%,52.15%,120.92%,60.46%,56.00%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Middlesex County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,74.42%,37.21%,86.29%,43.14%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Nantucket County,0,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",935,1161,1571,2205,2213,59.94%,29.97%,69.49%,34.75%,32.18%,55.58%,27.79%,64.44%,32.22%,39.96%,100.71%,50.35%,116.76%,58.38%,54.07%,141.35%,70.67%,163.88%,81.94%,75.89%,141.86%,70.93%,164.47%,82.24%,76.17%
MA,Norfolk County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",862,867,1133,1446,1531,55.26%,27.63%,64.07%,32.03%,29.67%,76.67%,38.33%,88.89%,44.44%,29.84%,72.63%,36.31%,84.21%,42.10%,39.00%,92.69%,46.35%,107.47%,53.73%,49.77%,98.14%,49.07%,113.79%,56.89%,52.69%
MA,Norfolk County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Norfolk County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Norfolk County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
MA,Norfolk County,1,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",1071,1196,1494,1861,2023,68.65%,34.33%,79.60%,39.80%,36.86%,76.67%,38.33%,88.89%,44.44%,41.16%,95.77%,47.88%,111.04%,55.52%,51.42%,119.29%,59.65%,138.31%,69.16%,64.05%,129.68%,64.84%,150.35%,75.18%,69.63%
